,Year,Code,ROA,HHI,DF,IBI,CAR,CIR,NPL,GDP
211,2011,600908.SH,1.3887,0.059601366968,38.0371305789668,0.0316682219256074,0.070761,0.430676919492019,0.9,0.0947
212,2012,600908.SH,1.3058,0.089812091742,52.2113064200722,0.0438754516515348,0.067877,0.43617923936237,0.88,0.0787
213,2013,600908.SH,1.1893,0.0960289456319998,201.751513524335,0.05288406906944,0.067358,0.435949981789486,1.02,0.0777
214,2014,600908.SH,0.9752,0.135227555022,308.242844434336,0.0615154625373734,0.061391,0.514411998367211,1.15,0.0741
215,2015,600908.SH,0.7447,0.178147727328,452.85055135204,0.0781142639012597,0.062415,0.541798623889577,1.17,0.0703
216,2016,600908.SH,0.7359,0.153032175608,860.929963227138,0.086368797867457,0.070386,0.56534411992148,1.39,0.0687
217,2017,600908.SH,0.7587,0.109726243902,1129.62699483267,0.0700656698539006,0.067484,0.561116059843028,1.38,0.0695
218,2018,600908.SH,0.738,0.120622011822,1233.85192248379,0.0383477635772585,0.070278,0.588090270598776,1.24,0.0672
219,2019,600908.SH,0.7916,0.282192079928,1396.4365360666,0.0454652027220221,0.071949,0.587002890067265,1.21,0.0582
220,2010,601128.SH,1.2361,0.1276845368,20.5417571687853,0.0316328689954101,0.077255,0.506216340093961,0.95,0.1082
221,2011,601128.SH,1.2894,0.121621336638,31.8221710089973,0.0472684488241973,0.067022,0.535761206050386,0.69,0.0947
222,2012,601128.SH,1.2161,0.12128025195,51.3814946512673,0.024660364915366,0.07596,0.524578931365706,0.83,0.0787
223,2013,601128.SH,1.2557,0.0829835657419999,200.205655039733,0.0294923687569984,0.069245,0.501184102577115,0.97,0.0777
224,2014,601128.SH,1.0753,0.164866792398,316.710989812332,0.0237559707565992,0.070012,0.579594684017172,0.96,0.0741
225,2015,601128.SH,0.935,0.18770505195,482.010457322859,0.0330505467967111,0.074444,0.654738108193247,1.42,0.0703
226,2016,601128.SH,0.8845,0.206620467998,825.501963663758,0.085827085048367,0.075809,0.712419191569332,1.4,0.0687
